"Name","Runtime","dropout","learning_rate","weight_decay","n_layers","n_heads","perplexity","test_accuracy","test_loss","test_perplexity","train_accuracy","train_loss","val_accuracy","val_loss"
"base_model_1","4691","0.3883311729801403","0.000241335329941984","0.02047018566834771","4","4","76.05181876247443","0.27381603034544666","4.292805492393743","73.17146279251601","0.299560546875","3.5551295280456543","0.27171059059333363","4.33141493377074"
"base_model_2","4922","0.1522022862872366","0.0002244959104512134","0.05948412373009861","4","4","76.32875719611884","0.2742816281140613","4.291065892084428","73.04428434511473","0.2967529296875","3.5598056316375732","0.27064418049523864","4.33504976369327"
"base_model_3","4722","0.23837031711860676","0.0003094526315585849","0.1510976110992279","4","4","76.7785651218872","0.27372832248518286","4.290013619631438","72.96746228280855","0.3160400390625","3.438279628753662","0.2715324219888169","4.340925501222553"
"base_model_4","4432","0.20142406158133608","0.00039812342100015066","0.10078598009168507","4","4","76.51441537448295","0.27327633400485296","4.291897104258411","73.10502488414281","0.28369140625","3.624473810195923","0.2695905251157391","4.337479159348358"
"base_model_5","4026","0.2814132104272643","0.00011322800925812487","0.17032786090254756","4","4","76.25947590279196","0.2710628232926459","4.297770166056628","73.53563848543632","0.3016357421875","3.557410717010498","0.27160938388855743","4.334141681901107"
"base_model_6","4704","0.3802062657435177","0.000310566466654992","0.0863697126484807","4","4","76.96459839152428","0.2727979274943232","4.298509814117377","73.5900490977094","0.301025390625","3.57252836227417","0.2705569208765187","4.343345554982085"
"base_model_7","4902","0.1613517430379821","0.00039183504447429934","0.12451877560160954","4","4","76.467053410553","0.2738182718752818","4.297030747199184","73.48128494513877","0.2996826171875","3.5077619552612305","0.2723551916690948","4.336859973693791"
"base_model_8","4696","0.3426849328222873","0.0003287845872538361","0.036519802211482905","4","4","76.15260361287284","0.27382217854156593","4.290561816648709","73.00747379408338","0.298095703125","3.5705955028533936","0.27128267520430677","4.332739269339389"
"base_model_9","4916","0.3380812025993154","0.0004836393735356255","0.09374845562109728","4","4","76.73637769189074","0.2737402346151639","4.292539957847165","73.15203582070116","0.300537109375","3.5115599632263184","0.27161458694656804","4.340375881357734"
"base_model_10","4682","0.26024834457079815","0.00030976643821373543","0.1896737889929639","4","4","76.43669242146784","0.2731200353316337","4.293199102101107","73.2002694594931","0.2960205078125","3.549872398376465","0.270772016739972","4.3364628481777485"
"base_model_11","4479","0.3624226586909065","0.0002827667348747517","0.03162560742163199","4","4","76.64999886035275","0.27321395543172633","4.294706872515571","73.31072190765673","0.2889404296875","3.633724451065063","0.26996153205777473","4.339249590449627"
"base_model_12","4447","0.3048525820532627","0.00024730768739546596","0.07000579762398447","4","4","76.33415547600278","0.27286891994638773","4.288898365744652","72.88613039816897","0.2933349609375","3.5579724311828613","0.27115693463571655","4.335120485256113"
"base_model_13","4430","0.34979311393379997","0.0004738608159678566","0.10032753728004916","4","4","76.0692048485907","0.2728772456286326","4.293128191877037","73.19507899601443","0.2886962890625","3.580052375793457","0.2709238809956572","4.331643516063697"
